Country,Sexuality - Avg. D (Real),Sexuality Avg. Explicit (Real),Sexuality Avg. Therm (Real),Age - Avg. D (Real),Age Avg. Explicit (Real),Age Avg. Therm (Real),Gend - Avg. D (Real),Gend Avg. Explicit (Real),Gend Avg. Therm (Real)
Korea,0.216964581246698,0.668070766638585,0.160235161673651,0.504849068295675,1.40043446777697,-0.961224489795918,0.397303548075641,-0.38220640569395,1.32178932178932
Mexico,0.308689595013185,0.8612828438949,0.916937522571325,0.440362765467377,0.563129357087529,0.0575757575757576,0.311830912308467,0.0623015873015873,1.11501597444089
Netherlands,0.26065600883733,0.356676342525399,0.63323097918799,0.53274244622862,0.622912621359223,0.585157699443414,0.358584608169944,0.573333333333333,2.04346394468225
Norway,0.181988733817701,0.256002314145213,0.477717391304348,0.476331379591819,0.398720682302772,0.24635761589404,0.429507050627001,-0.212345679012346,1.39596469104666
Poland,0.282183310471534,0.594588575882418,1.43321671125746,0.459938255018267,0.20513506285103,-0.0554290053151101,0.439496438506214,-0.201217608492039,1.68057531215426
Portugal,0.283566725554676,0.802625622453599,1.85314685314685,0.43588312541835,0.641986879100281,1.02147099132024,0.349766308434079,-0.136752136752137,1.3968253968254
Romania,0.342338771218212,1.14779874213836,2.4943661971831,0.497359583666942,1.02290076335878,1.11724137931034,0.584578841484301,-0.334705075445816,-1.23472222222222
Russia,0.27695227948537,1.00383993532741,1.72187218721872,0.509758259376191,0.95136476426799,0.764253393665158,0.446907541207485,0.125617792421746,1.18791946308725
Serbia,0.414909259894545,1.12867647058824,2.19402985074627,0.499575979729443,0.859060402684564,0.814102564102564,0.370586511436634,-0.279614325068871,1.00139082058414
South Africa,0.31233518350049,0.611916264090177,0.802413273001508,0.47423624104483,0.36231884057971,0.152804642166344,0.355375413208491,0.126984126984127,2.07605985037406
Spain,0.18446865293005,0.379717243682511,0.255855477365823,0.505693291608813,0.607596875478634,0.105482717520858,0.288593517203103,0.0893123737595504,1.07119541243935
Sweden,0.122154430368076,0.319327731092437,0.374664320770442,0.487458404260038,0.428675719083078,0.134659629178509,0.42230765245991,-0.190351917754053,1.40848572345204
Switzerland (French),0.186221648867663,0.592385218365062,1.14591836734694,0.552382257157167,0.600907029478458,0.392624728850325,0.402202923433312,0.402777777777778,1.449423815621
Switzerland (German),0.145351870419031,0.426327599102468,0.560163154316791,0.561181290587311,0.415094339622642,0.419499105545617,0.468155027983685,-0.0471349353049908,1.24311712552496
Taiwan,-0.147375307706675,0.15676187897658,-0.523702031602709,0.506469469196159,0.626849894291755,-0.717368961973278,0.458565770617965,-0.464874241110147,2.32956193791703
Turkey,0.135397871452158,1.00536571589946,1.83898075359176,0.533991093944364,0.68981018981019,0.59106198942816,0.39720117168502,-0.524940617577197,1.00924974306269
United Kingdom,0.215377270137078,0.197097510320248,-0.0032038643533123,0.478763481284053,0.215345498055639,-0.0759712728216665,0.404181295255189,0.224172818226103,1.46599247234156
(United States),,,,,,,,,
